SNR_dB,Snapshots,Array,Baseline_Condition,ALSS_Condition,ALSS_Improvement_%,Statistical_Significance_p,Confidence_Interval_95_low,Confidence_Interval_95_high,Harmlessness_Index,Robustness_Gain_%,Baseline_RMSE_mean,ALSS_RMSE_mean,Baseline_RMSE_std,ALSS_RMSE_std,Baseline_Runtime_mean,ALSS_Runtime_mean,Valid_Trials,t_statistic
-5.0,32,Z5,Z5_noALSS,Z5_withALSS,14.242498547367404,0.03228510412607978,-0.15662180397223757,5.143596661101296,0.0,23.185161828847427,17.507373585271836,15.01388615670731,16.75318984986817,14.683178214318335,0.3813160094432533,0.37909199250862,50,1.8908090764771233
-5.0,64,Z5,Z5_noALSS,Z5_withALSS,8.216737124443359,0.2685715955189609,-1.1568835744314656,2.1928860403283763,0.0,7.022255297480423,6.304220581762216,5.786219348813761,10.29462494977285,9.926588822320246,0.34698600647971034,0.39284599479287863,50,0.6215128622272497
-5.0,127,Z5,Z5_noALSS,Z5_withALSS,-0.6460541360551861,0.7524760658921198,-0.04779713301053357,0.02343124063673021,0.012182946186901633,-3.0004032273291,1.8857469532338018,1.8979298994207034,5.784371913040294,5.8705078227428436,0.3521700040437281,0.3898899909108877,50,-0.6874380452294996
-5.0,256,Z5,Z5_noALSS,Z5_withALSS,58.33976249306687,0.166968226313654,-0.4944318031356072,1.4279152281648826,0.0,99.48446931263824,0.8000404742307713,0.3332987617161335,3.3804489701210696,0.24271781030343043,0.34554600482806563,0.4155779932625592,50,0.9758410654606674
-5.0,512,Z5,Z5_noALSS,Z5_withALSS,-2.0462427248272337,0.8388882970246623,-0.008814841784640424,0.0029569774083713757,0.002928932188134531,-4.78950656670838,0.1431370849898476,0.14606601717798212,0.1857734504729057,0.1901702359092017,0.3635559952817857,0.3938259952701628,50,-1.0
0.0,32,Z5,Z5_noALSS,Z5_withALSS,2.225375963634911,0.1591754090737755,-0.018616541103519714,0.05609718208147257,0.0,-0.1861787736201269,0.8421193000739696,0.823378979584993,3.375401470113285,3.378542149504365,0.3982580010779202,0.43090999126434326,50,1.0081169130673846
0.0,64,Z5,Z5_noALSS,Z5_withALSS,13.95939914484307,0.026023905663309293,-0.0003418095890704645,0.07448394521280141,0.0,-1.4964018757731896,0.26556349186104045,0.22849242404917497,0.23340101068883806,0.23514083471854055,0.3714779857546091,0.4131120117381215,50,1.9912154601292449
0.0,127,Z5,Z5_noALSS,Z5_withALSS,-2.1312732063785487,0.6209192457940864,-0.031026334251041773,0.022742063003579872,0.004142135623730919,4.095874978578553,0.19435028842544405,0.19849242404917497,0.19931875322946088,0.19519415358837597,0.3596559935249388,0.391373997554183,50,-0.30962177053046214
0.0,256,Z5,Z5_noALSS,Z5_withALSS,14.285714285714302,0.16111170297533778,-0.007138774962921022,0.021280910586651974,0.0,12.292358803986726,0.04949747468305834,0.042426406871192854,0.12267844146385298,0.11489125293076058,0.35293000750243664,0.39687599521130323,50,1.0
0.0,512,Z5,Z5_noALSS,Z5_withALSS,66.66666666666667,0.07969302598730817,-0.005747501018212581,0.034031772265674484,0.0,65.24822695035462,0.021213203435596427,0.007071067811865475,0.08396427811873333,0.04949747468305833,0.34316200530156493,0.388413998298347,50,1.4288690166235205
5.0,32,Z5,Z5_noALSS,Z5_withALSS,6.1122173737426895,0.24252871563771333,-0.026253907359620007,0.054538178607081905,0.0,-3.057544735291088,0.23137488016188235,0.21723274453815145,0.20967991041126136,0.2128613039056706,0.36169199738651514,0.4163560108281672,50,0.7035264706814485
5.0,64,Z5,Z5_noALSS,Z5_withALSS,10.301730706600555,0.24252871563771333,-0.026253907359620007,0.054538178607081905,0.0,4.227835004050607,0.13727922061357856,0.12313708498984761,0.17650613470281545,0.17273464707522648,0.3444100031629205,0.3838520008139312,50,0.7035264706814485
5.0,127,Z5,Z5_noALSS,Z5_withALSS,24.999999999999996,0.16111170297533778,-0.007138774962921022,0.021280910586651974,0.0,23.369565217391266,0.0282842712474619,0.021213203435596427,0.09591663046625439,0.08396427811873335,0.3602900030091405,0.3910639975219965,50,0.9999999999999999
5.0,256,Z5,Z5_noALSS,Z5_withALSS,50.0,0.16111170297533778,-0.007138774962921022,0.021280910586651974,0.0,48.95833333333335,0.01414213562373095,0.007071067811865475,0.0692820323027551,0.049497474683058325,0.44495599577203393,0.4845379921607673,50,0.9999999999999999
5.0,512,Z5,Z5_noALSS,Z5_withALSS,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.38052799878641963,0.40885398630052805,50,
10.0,32,Z5,Z5_noALSS,Z5_withALSS,14.748875345290577,0.06222590728787747,-0.0077311663066774484,0.06187330193040841,0.0,5.164084649704899,0.18354665815593496,0.1564755903440695,0.2526076488940673,0.24599875940027616,0.38154000183567405,0.41821799939498305,50,1.5631567597663447
10.0,64,Z5,Z5_noALSS,Z5_withALSS,21.638837510877575,0.07969302598730817,-0.005747501018212581,0.034031772265674484,0.0,14.428163426184746,0.06535533905932737,0.05121320343559642,0.15240957862431206,0.1409865518191867,0.458105995785445,0.49245400354266167,50,1.4288690166235205
10.0,127,Z5,Z5_noALSS,Z5_withALSS,0.0,,,,0.0,0.0,0.007071067811865475,0.007071067811865475,0.04949747468305833,0.04949747468305833,0.36829200107604265,0.4139319993555546,50,
10.0,256,Z5,Z5_noALSS,Z5_withALSS,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5047759995795786,0.5339900008402765,50,
10.0,512,Z5,Z5_noALSS,Z5_withALSS,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.4421200044453144,0.4963460052385926,50,
15.0,32,Z5,Z5_noALSS,Z5_withALSS,26.975214338981807,0.08280265719777836,-0.010328242605661793,0.058612513853123695,0.0,21.23255162352362,0.08949747468305834,0.06535533905932737,0.17172711499747306,0.15240957862431206,0.33395399805158377,0.3842600039206445,50,1.4074530194593713
15.0,64,Z5,Z5_noALSS,Z5_withALSS,16.421356237309485,0.1431889220844772,-0.009692995576055099,0.03211940244724795,0.0,4.319192978274303,0.06828427124746189,0.05707106781186548,0.15917681458115387,0.15570129485271936,0.34888800233602524,0.40477799717336893,50,1.077851403811304
15.0,127,Z5,Z5_noALSS,Z5_withALSS,-100.0,0.8388882970246623,-0.021280910586651974,0.007138774962921022,0.007071067811865475,-95.91836734693881,0.007071067811865475,0.01414213562373095,0.04949747468305833,0.0692820323027551,0.3416399983689189,0.380906006321311,50,-1.0
15.0,256,Z5,Z5_noALSS,Z5_withALSS,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.40529200341552496,0.46180600533261895,50,
15.0,512,Z5,Z5_noALSS,Z5_withALSS,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3584760054945946,0.3843459999188781,50,
